English,Turkish
Collect tax of {0} from {1} into {2} {3}.,
Try to collect tax of {0} from {1} into {2}.,
Possible access through {0},
Only creator can start election.,
on property with root location in,
on property that overlaps,
Setting Up Shop,
Fireworks Show,
Opened a store with at least one item listed.,
Online for the destruction of the meteor.,
Generates the world block stats,
{0} Reverted to: {1},
'{0}' contains inappropriate text.,
Only owners are allowed to edit this property.,
Edit {0},
Place down all the logs somewhere on land you own to form the beginning frame of your room.,
Features,
Learned from {0}. Spent {1}.,
Self-Taught. Spent {0}.,
star,
"To receive education in a topic, you must enroll in a class teaching the subject at a school.  View available classes in the economy viewer.",
"Each time you level up, you get another star which can unlock skills.",
"Fully Educated, not yet taken as specialty.",
"Claimed Specialty, Level {0}",
{0} educated.,
Not educated.,
Education of {0} set to {1}.,
Couldn't find scroll for {0}.,
Debug Education was {0}.,
"Make education tick every frame, accepet teachers and students regardless of skills, and allow teachers to be their own students.",
"This will consume {0}, leaving you with {1} remaining. Continue?",
Not enough stars.,
Max professions of {0} reached! Unable to learn a new one.,
Max specialties of {0} reached! Unable to learn a new one.,
taught by {0},
"{0} has become a {1} specialist, {2}.",
self-taught,
Too close to {0}: {1}m to the {2} but must be at least {3}m.,
Must be on a deed of type '{0}',
On a deed of type '{0}',
Room is on {0}.,
Room spans multiple deeds: {0},
Room is on unowned property.,
(Unowned Property),
Room Details,
"This will consume the invitation, are you sure?",
Are you sure you want to leave residency of {0}? You will lose access to your items on the {1}.,
"Are you sure you want to leave residency of {0}? You can't be a resident of multiple land-holding deeds. (Note: Deeds without land, such as vehicle deeds, are permitted for multiple residencies.)",
"You are currently a resident of {0}, are you sure you want to leave residency there and switch to {1}? You will lose access to your items on the {2}.",
"You are currently a resident of {0}, are you sure you want to leave residency there and switch to {1}? You can't be a resident of multiple land-holding deeds. (Note: Deeds without land, such as vehicle deeds, are permitted for multiple residencies.)",
Items from eviction.,
"Invalid target bank account for receiving rent, can't become resident.",
Invalid source bank account for paying rent. Can't become resident.,
"Can't unclaim plot: You have residents on the property, you will need to evict them before unclaiming land.",
Cannot move selected plot onto {0}: would result in non-contiguous deed,
Cannot move selected plot onto {0}: would cause {1} to not have contiguous plots,
Achievements: {0},
Favorite food: {0},
Least-favorite food: {0},
You energized {0} with {1} hours of extra energy to work while otherwise exhausted.,
You exhausted {0} for the day.,
"Since you last logged in {0} ago, you lost {1} calories and gained {2} {3}.",
stars,
Lowest Nutrient:,
Highest Nutrient:,
Ratio:,
Final Bonus:,
"You receive a bonus for balancing the nutrients in your diet, and if each nutrient is close to the same value the bonus goes up.",
(where a ratio of {0} is {1} and a ratio of {2} is {3}),
No nutrients.,
You are feeling refreshed and can work again.,
You feel invigorated! You can work an extra {0} hours while otherwise exhausted.,
You are suddenly very exhausted.,
Citizen is exhausted and can work again in {0}.,
Citizen can work for another {0} before becoming exhausted.,
Spawns a setup for testing sewage system.,
plugin,
All {0} in the world,
There are {0} {1} in the world,
There is one {0} in the world,
use {0}{1},
You find this food tastes {0}.,
You have eaten {0} calories of this food within the last 24 hours.,
You have never tried this food before.,
perform an action,bir eylem gerçekleştir
performing an action,bir eylem gerçekleştiriliyor
{0} is at its current max of {1} plots.,{0} şu anki maksimum {1} arsa sayısında.
The {0} is:\n\n{1} {2}\n\nDo you want to proceed and specify a bank account to pay from?,{0}:\n\n{1} {2}\n\n Devam etmek ve üzerinden ödemek için bir banka hesabı seçmek istiyor musunuz?
{0} doesn't have enough {1} to cover the {2} of {3}.,{0}'ın {3}'ün {2}'sini kaplaması için yeterli {1}'i yok.
{0} is set to an invalid amount: {1},{0} geçersiz bir miktara ayarlı: {1}
{0} is set to an invalid currency: {1},{0} geçersiz bir para birimine ayarlı: {1}
{0} in {1},{1}'de {0}
Waterwheel is too deep.,Su Çarkı çok derin.
Waterwheel rotation obstructed by {0} at {1}.,{1}'de Su Çarkı döndürmesi {0} tarafından engellendi.
Too many sides are in water flow.,Su akışında çok kenar var.
Waterwheel must be in water to function.,Su Çarkı çalışmak için suda olmalı.
The Waterwheel does not function in oceans.,Su Çarkı okyanuslarda çalışmaz.
side,kenar
The Solar Generator must be outside.,Güneş Jeneratörü dışarda olmalı.
"The Solar Generator sees {0}% of the sky, generating {1}w of the maximum of {2}. Generator footprint is {3}x{4}.","Güneş Jeneratörü gökyüzünün {0}% kadarını görüyor, maksimum {2} olmak üzere {1}v enerji üretiyor. Jeneratör ayak izi {3}x{4}."
The Solar Generator requires a view of the sky to operate.,Güneş Jeneratörünün çalışması için gökyüzünü görmesi gerekir.
No objects required by power grid network,
Not connected to a power grid,
Uncategorized,Kategorize Edilmemiş
"Cannot enroll, no subject set.","Kayıt olamazsın, ders seçilmemiş."
"Cannot enroll, class is full.","Kayıt olamazsın, sınıf dolu."
"Cannot enroll, you are already educated in {0}.","Kayıt olamazsın, {0}'da zaten eğitim gördün."
Enrollment failed: Requirements not satisfied.,Kayıt başarısız oldu: Şartlar sağlanmadı.
"Enrollment failed, requirements not satisfied.","Kayıt başarısız oldu, şartlar sağlanmadı."
tuition fee,eğitim ücreti
"You are now enrolled as a {0} student!{1}Once both you and the teacher have applied labor, you will begin gaining education in {2}.",Bir {0} öğrencisi olarak kaydoldun!{1} Sen ve öğretmen uğraş ekledikten sonra {2}'de eğitim almaya başlayacaksın.
{0} is now a student of {1} at {2}. {3},{0} artık {2}'de {1}'in öğrencisi. {3}
{0} has enrolled in your {1} class.  You will collect {2} when they complete the class.,{0} {1} sınıfına kaydoldu. Sınıfı bitirdiklerinde {2} kazanacaksın.
"Cannot become a teacher here, requirements not satisfied.","Burada bir öğretmen olamazsın, şartlar sağlanmadı."
A subject must be assigned before you may become a teacher.,Sen öğretmen olmadan önce bir ders atanmalı.
You don't have the skill {0} and thus cannot teach it.,"{0} yeteneğine sahip değilsin, bu nedenle öğretemezsin."
"You are now a teacher of {0}!  For teaching to begin:\n\n - Students must enroll beyond the minimum number required.\n - Students must add studying labor.\n - You must add teaching labor.\n\n When these are satisfied, their education in the given subject will begin increasing.","Artık {0}'ın bir öğretmenisin! Öğretmenin başlaması için:\n\n - Öğrenciler minimum sayının ötesinde kaydolmalı.\n - Öğrenciler çalışma uğraşı eklemeli.\n - Sen öğretim uğraşı eklemelisin.\n\n Şartlar sağlandığında, verilen dersteki eğitimleri yükselmeye başlayacak."
{0} is now teaching {1} at {2}.,{0} şu an {2}'de {1}'e öğretiyor.
Are you sure you want to stop teaching? You will lose {0} queued teaching calories.,Öğretmeyi bırakmak istediğinden emin misin? {0} sıralanmış öğretme kalorisi kaybedeceksin.
Are you sure you want to stop teaching?,Öğretmeyi bırakmak istediğinden emin misin?
{0} calories applied to studying.  {1} of calories needed for class have been applied.,Çalışmaya {0} kalori uygulandı. Uygulanan sınıfın {1} kaloriye ihtiyacı var.
Teaching not started:,Öğretim başlamadı:
"Teaching in progress, {0} currently learning.","Öğretim devam etmekte, Şu anda {0} öğreniyor."
{0} has successfully completed a class in {1} taught by {2}.{3},"{0}, {2} tarafından öğretilen {1}'deki bir sınıfı başarıyla tamamladı.{3}"
You have completed your course in {0} taught by {1}!{2},{1} tarafından öğretilen {0}'daki kursunu tamamladın!{2}
{0} has completed your course in {1}!{2},{0} senin {1}'deki kursunu tamamladı!{2}
You already have the maximum calories you can queue here ({0} classes worth).,Buraya zaten sıralayabileceğin maksimum kalorileri sıralamışsın ({0} sınıf değerinde).
{0} calories applied to teaching.  Calories queued to teach {1} full classes.,{0} kalori öğretme için kullanıldı. {1} dolu sınıfları öğretmek için kaloriler sıralandı.
Teaching time queued: {0} ({1} full classes),Öğretme zamanı sıraya alındı: {0} ({1} adet dolu sınıf)
No teacher has yet taken the job.,Henüz hiçbir öğretmen işi almadı.
Class is being taught by {0}.,Sınıf {0} tarafından öğretim görüyor.
No subject set.,Hiç ders ayarlanmamış.
Room must contain a working crafting table that uses {0} in order to teach.,Öğretmek için oda {0} kullanan bir üretim masası içermeli.
Crafting table used for teaching ({0}) for {1} is not enabled.,{1} için ({0}) öğretilmeye kullanılan üretim masası etkinleştirilmiş değil.
No teacher assigned.,Hiç öğretmen görevlendirilmemiş.
Teacher needs to perform teaching labor.,Öğretmenin öğretim uğraşını uygulaması gerekiyor.
"Need at least {0} with queued study labor to begin, currently {1}.","Başlamak için sıralanmış çalışma uğraşıyla birlikte en az {0}'a ihtiyaç var, şu an {1}."
"Tuition distributed from escrow: {0} paid to teacher, {1} paid to school.","Emanetçiden dağıtılan eğitim ücreti: {0} öğretmene, {1} okula ödendi."
{0} transferred fee to escrow for crafting {1} in the amount of {2},{2} miktarında {1} üretimi için {0} kadar ücret emanetçiye aktarıldı
{0} paid fee for crafting {1} in amount of {2},{2} miktarında {1} üretimi için {0} ödenen ücret
{0} refund fee for crafting {1} in amount of {2},{2} miktarında {1} üretimi için {0} iade ücreti
damaging {0}{1},{0}{1}'e hasar alıyor
World Progress,Dünya İlerlemesi
Achievements,Başarımlar
Error: two achievements with same name '{0}',Hata: aynı isimde iki başarım '{0}'
{0} unlocked the achievement {1}!,{0} {1} başarımını açtı!
Citizens with {0} Achievement,{0} başarımı olan vatandaşlar
Achievement {0} given to {1},{0} başarımı {1}'e verildi
Removed achievement of type '{0}' from {1},{1}'den '{0}' tipi başarım kaldırıldı
Given by {0}: {1},{0} tarafından verildi: {1}
Give an achievement to the given user,Verilen kullanıcıya bir başarım ver
Remove an achievement from the given user,Verilen kullanıcıdan başarım kaldır
{0} is outdated. All data was migrated to the new version. Old version is saved as {1},{0} zaman aşımına uğradı. Tüm veriler yeni sürüme aktarıldı. Eski sürüm {1} olarak kaydedildi
(shared),(paylaşıldı)
Error inserting custom stat {0} into database,{0} özel durumu veri tabanına eklenirken hata oluştu
