Context,English,French
,"Silos only accept crops, seeds, or fertilizer.","Les silos n'acceptent que les récoltes, les graines, ou les engrais."
,Must set both currency and amount when setting {0}.,Il faut définir à la fois la devise et le montant lors de la configuration pour {0}.
,Client Account,Compte du client
,Allowed Debt,Dette autorisée
,Interest Percent,Pourcentage d'intérêt
,Couldn't add {0} to itself.\n(Strange loops are too dangerous to support.),Impossible d'ajouter {0} à lui-même.\n(Les boucles étranges sont trop dangereuses pour être prises en charge.)
,(Full citizen list: {0}),(Liste complète des citoyens : {0})
,"Cannot attach these objects, max of {0} slots allowed on this {1}.","Impossible d'attacher ces objets, un maximum de {0} emplacements est autorisé sur ce {1}."
,Rent:,Loyer :
,Move-In Fee:,Frais de d'emménagement :
,in {0},dans {0}
,Calculated,Calculé
,(Right click and move to draw. Click at already taked position to erase.  Press left control to temporary switch layers. ),(Cliquez sur le bouton droit de la souris et déplacez-la pour dessiner. Cliquez à la position déjà saisie pour effacer. Appuyez sur Ctrl-Gauche pour changer temporairement de calque.)
,"This plot will not be connected to {0}, Would you like to continue and create a new deed?",Cette parcelle ne sera pas connectée à {0}. Voulez-vous continuer et créer un nouveau titre de propriété ?
,No deed exists for this object.,Aucun titre de propriété n'existe pour cet objet.
,MintCurrency.ItemUsed,Monnaie.ObjetUtilisé
,MintCurrency.WorldObjectItem,Monnaie.ObjetDuMonde
,CreateCurrency.ItemUsed,CréerDevise.ObjetUtilisé
,PlaceOrPickUpObject.WorldObjectItem,PlacerOuRécupérerUnObjet.ObjetDuMonde
,The amount of items converted into currency.,Le montant d'objets convertis en monnaie.
,The amount of new currency was created.,Le montant de la nouvelle monnaie a été créé.
,The amount of currency before the creation.,Le montant de la monnaie avant la création.
,The amount of currency after the creation.,Le montant de la monnaie après la création.
,The citizen or group owning the property.,Le citoyen ou groupe propriétaire de la propriété.
,The species of plant.,Les espèces de plantes.
,The position of the citizen when they performed the action.,La position du citoyen losqu'il a effectué l'action.
,A citizen remained logged in for a moment.  Triggers every 30 seconds.,Un citoyen est resté connecté pendant un moment. Se déclenche toutes les 30 secondes.
,How many seconds of time were just played (this value is always 30).,Combien de secondes viennent d'être jouées (cette valeur est toujours 30).
,Pay move in or rent property fee.,Payer les frais d'emménagement ou le loyer d'une location.
,Amount of payment.,Montant du paiement.
,Select Managers,Sélectionnez les gestionnaires
,Manager,Gestionnaire
,Select Users,Sélectionnez les utilisateurs
,The 'Abandoned Players' demographic will only apply to users who have a citizen age greater than this many hours.,"La démographie des ""Joueurs Abandonnés"" ne s'appliquera qu'aux utilisateurs qui ont un âge citoyen supérieur à ce nombre d'heures."
,Caches was invalidated for {0} chunk column(s).,Les caches ont été invalidés pour {0} colonne(s) de bloc.
,The value must be greater or equal than 0.01.,"La valeur doit être supérieure ou égale à 0,01."
,Connecting to...,Connexion...
,Settings\n,Paramètres\n
,Requires,Nécessite
,Header,Entête
,Mammals,Mammifères
,Birds,Oiseaux
,Reptiles,
,Craft Tables,Tables de fabrication
,Beds,Lits
,Power Generation,Générateur électrique
,Decoration,Décoration
,Signs,Panneaux
,Economic,Economie
,Community,Communauté
,Seating,Siège
,Researching,Recherche
,Elk Skypiercer,Wapiti Perce-ciel
,Research Papers,Papiers de recherche
,Charred Food,Nourriture carbonisée
,Produce,Produit
,Byproducts,Produits dérivés
,Roads,Routes
,Metals,Métaux
,Building Materials,Matériaux de construction
,Liquids,Liquides
,Processed Rock,Pierre transformée
,{0} is {1}: {2},{0} est {1} : {2}
,Population: {0},Population : {0}
,{0} is not a resident on any deed.,{0} n'est résident dans aucune propriété.
,{0} evicted from {1}.,{0} a été expulsé de {1}.
,No deed found at current location.,Aucun titre de propriété trouvé à la position actuelle.
,{0} added as resident of {1}.,{0} ajouté en tant que résident de {1}.
,Spawn a few rooms with housing value.,Créer quelques pièces avec une valeur de résidence.
,"Spawn a room for a test user, make us a tenant.","Faire apparaitre une pièce pour un utilisateur de test, et en faire le propriétaire."
,Get number of residents within a set of districts.,Obtenir le nombre de résidents dans un ensemble de quartiers.
,Test if a given citizen is a resident of a given district.,Tester si un citoyen donné est un résident d'un quartier donné.
,The citizen to check.,Le citoyen à vérifier.
,inside {0},à l'intérieur de {0}
,Test if a given location is within a set of districts.,Teste si un emplacement donné se trouve dans un ensemble de quartiers.
,none are true,aucun n'est vrai
,is not true,n'est pas vrai
,There's no election is running,Il n'y a pas d'élection en cours
,Click existing claims to erase them. Hold left-control to temporarily switch viewed layer.,Cliquez sur les revendications existantes pour les supprimer. Maintenez le CRTL Gauche pour changer temporairement le calque affiché.
,Draft election of type {0}.,Projet d'une élection de type {0}.
,Priority: {0},Priorité : {0}
,Execute now.,Exécuter maintenant.
,"(When multiple civic articles can apply to an action, the one with highest priority is used.)","(Lorsque plusieurs articles civiques peuvent s'appliquer à une action, on utilise celui avec la plus haute priorité.)"
,Cannot save the following {0} as they already exist:,Impossible de sauvegarder {0} car ils existent déjà :
,{0} renamed to {1},{0} renommé en {1}
,Rewards for learning {0},Récompenses pour l'apprentissage de {0}
,Requirements:,Exigences :
,Alpha Backer Rewards,Récompenses des supporters de la version Alpha
,Wolf Whisperer Rewards,Récompenses du chuchoteur de loup
,{0} work order cancelled.,{0} commande annulée.
,'Missing Recipe',Recette manquante
,{0} added to void storage for {1}.,"{0} a été ajouté au ""Stockage du néant"" pour {1}."
,ItemCraftedAction.ItemUsed,
,The byproduct being crafted.,Le sous-produit en cours de fabrication.
,Barter,Troc
,The constitution provides multiple ways to perform this action:{0}Select which one you would like to use.,La constitution fournit plusieurs moyens d'effectuer cette action : {0} Sélectionnez laquelle vous souhaitez utiliser.
,Choose Civic Article to Use,Choisissez l'article civique à utiliser
,Civic Article,Article civique
,{0} revised to {1},{0} modifié en {1}
,Add new {0},Ajouter un nouveau {0}
,Out of range.,Hors de portée.
,{0} meters {1},{0} mètres {1}
,In Range.,À portée.
,This storage appears when no other place can receive your items. You can't place things here.,Ce stockage apparaît quand aucun autre endroit ne peut recevoir vos objets. Vous ne pouvez pas placer des objets ici.
,GPU Memory Limit,Limite mémoire GPU
,Determines how much memory Eco can use for graphics.,Détermine la quantité de mémoire utilisée par Eco pour les graphiques.
,Related Registrar,Registre associé
,Max XZDistance,Distance maximale
,Max YDistance,Distance maximale
,Currency Created,Monnaie créée
,New Currency Created,Nouvelle monnaie créée
,Total Currency Before Creation,Monnaie totale avant la création
,Total Currency After Creation,Monnaie totale après la création
,Landlord,Bailleur
,Byproduct,Sous-produit
,Move In Or Rent Fee,Frais d'emménagement ou de location
,Contractor Account,Compte entrepreneur
,Priority,Priorité
,Less Than Or Equal To,Inférieur ou égal à
,Move In,Emménager
,Citizen Age For Abandoned Demographic,Âge des citoyens pour les démographiques abandonnés
,A solid steel plate supported by a brick base.,Une plaque d'acier solide soutenue par une base en brique.
,A long steel plate with a wooden base.,Une longue plaque d'acier avec une base en bois.
,A large sign framed with a glass plate.,Un grand panneau encadré d’une plaque de verre.
,A decorative wooden sign framed with steel. Great for advertising shops.,Un panneau décoratif en bois encadré d'acier. Idéal pour les publicités de magasins.
,A large hanging steel sign attached to a wooden frame.,Un grand panneau suspendu en acier attaché à un cadre en bois.
,A hanging sign made of steel plates.,Un panneau suspendu en plaques d'acier.
,A large wooden sign framed with steel.,Un grand panneau en bois encadré d'acier.
,A long steel plate for when you need to display extra large text.,Une longue plaque d'acier lorsque vous avez besoin d'afficher du texte extra-large.
,An industrial elevator for transporting extra large loads vertically. It requires a 6x10 vertical shaft to function.,Un ascenseur industriel pour le transport vertical de très grosses charges. Il nécessite un puits de 6x10 pour fonctionner.
,"Rockstar cool-person hair. This finely crafted hairpiece says ""I don't care what you think. I'm wearing an awesome toupee"".","Cheveux cool Rockstar. Ce postiche finement conçu dit ""Je me fiche de ce que vous pensez. Je porte un toupet génial""."
,"Can copy world block to carried slot with ""E"", hold ""Ctrl"" to add whole stack.","Peut copier le bloc du monde dans l'emplacement transporté avec ""E"", maintenez Ctrl pour ajouter la pile entière."
,Rainfall: ,Précipitations :
,Setup an industrial elevator for testing,Configuration d'un ascenseur industriel pour des essais
,{0} chat messages removed from history.,{0} messages de discussion supprimés de l'historique.
Help text for chat command /chat,Commands related to chat.,Commandes liées à la discussion.
Help text for chat command /clearhistoryolderthan,Clean up chat history from old messages. Reduces memory usage and may improve server performance. You need to provide number of days in world time to preserve.,Nettoyez l'historique des discussions des anciens messages. Réduit l'utilisation de la mémoire et peut améliorer les performances du serveur. Vous devez fournir le nombre de jours dans le monde à conserver.
