English,Polish
'{0}' contains inappropriate text.,
Only owners are allowed to edit this property.,
Edit {0},
Place down all the logs somewhere on land you own to form the beginning frame of your room.,Umieść wszystkie kłody gdzieś na swojej ziemi tak aby stworzyć zarys swojego pokoju.
Features,
Learned from {0}. Spent {1}.,
Self-Taught. Spent {0}.,
star,
"To receive education in a topic, you must enroll in a class teaching the subject at a school.  View available classes in the economy viewer.",
"Each time you level up, you get another star which can unlock skills.",
"Fully Educated, not yet taken as specialty.","W pełni wykształcony, jeszcze nie uznany za specjalizację."
"Claimed Specialty, Level {0}",
{0} educated.,
Not educated.,Niewykształcony.
Education of {0} set to {1}.,
Couldn't find scroll for {0}.,
Debug Education was {0}.,
"Make education tick every frame, accepet teachers and students regardless of skills, and allow teachers to be their own students.",
"This will consume {0}, leaving you with {1} remaining. Continue?",
Not enough stars.,
Max professions of {0} reached! Unable to learn a new one.,
Max specialties of {0} reached! Unable to learn a new one.,
taught by {0},
"{0} has become a {1} specialist, {2}.",
self-taught,
Too close to {0}: {1}m to the {2} but must be at least {3}m.,
Must be on a deed of type '{0}',
On a deed of type '{0}',
Room is on {0}.,
Room spans multiple deeds: {0},Pokój obejmuje wiele aktów własności: {0}
Room is on unowned property.,Pokój znajduje się na bezpańskiej nieruchomości.
(Unowned Property),
Room Details,Szczegóły pomieszczenia
"This will consume the invitation, are you sure?",
Are you sure you want to leave residency of {0}? You will lose access to your items on the {1}.,
"Are you sure you want to leave residency of {0}? You can't be a resident of multiple land-holding deeds. (Note: Deeds without land, such as vehicle deeds, are permitted for multiple residencies.)",
"You are currently a resident of {0}, are you sure you want to leave residency there and switch to {1}? You will lose access to your items on the {2}.",
"You are currently a resident of {0}, are you sure you want to leave residency there and switch to {1}? You can't be a resident of multiple land-holding deeds. (Note: Deeds without land, such as vehicle deeds, are permitted for multiple residencies.)",
Items from eviction.,
"Invalid target bank account for receiving rent, can't become resident.",
Invalid source bank account for paying rent. Can't become resident.,
"Can't unclaim plot: You have residents on the property, you will need to evict them before unclaiming land.",
Cannot move selected plot onto {0}: would result in non-contiguous deed,
Cannot move selected plot onto {0}: would cause {1} to not have contiguous plots,
Achievements: {0},
Favorite food: {0},Ulubione jedzenie: {0}
Least-favorite food: {0},Znienawidzone jedzenie: {0}
You energized {0} with {1} hours of extra energy to work while otherwise exhausted.,
You exhausted {0} for the day.,
"Since you last logged in {0} ago, you lost {1} calories and gained {2} {3}.",Od ostatniego logowania {0} temu utracono {1} kalorii i zyskano {2} {3}.
stars,
Lowest Nutrient:,
Highest Nutrient:,
Ratio:,
Final Bonus:,
"You receive a bonus for balancing the nutrients in your diet, and if each nutrient is close to the same value the bonus goes up.",
(where a ratio of {0} is {1} and a ratio of {2} is {3}),
No nutrients.,
You are feeling refreshed and can work again.,Czujesz się lepiej i możesz znowu pracować.
You feel invigorated! You can work an extra {0} hours while otherwise exhausted.,
You are suddenly very exhausted.,
Citizen is exhausted and can work again in {0}.,
Citizen can work for another {0} before becoming exhausted.,
Spawns a setup for testing sewage system.,
plugin,
All {0} in the world,
There are {0} {1} in the world,
There is one {0} in the world,
use {0}{1},
You find this food tastes {0}.,"Stwierdzasz, że to jedzenie smakuje {0}."
You have eaten {0} calories of this food within the last 24 hours.,W ciągu ostatnich 24 godzin zostało przez ciebie zjedzone {0} kalorii pochodzących z tego jedzenia.
You have never tried this food before.,Nigdy wcześniej nie było ci dane spróbować tej potrawy.
perform an action,
performing an action,
{0} is at its current max of {1} plots.,
The {0} is:\n\n{1} {2}\n\nDo you want to proceed and specify a bank account to pay from?,
{0} doesn't have enough {1} to cover the {2} of {3}.,
{0} is set to an invalid amount: {1},
{0} is set to an invalid currency: {1},
{0} in {1},
Waterwheel is too deep.,Młyn wodny jest za głęboko.
Waterwheel rotation obstructed by {0} at {1}.,Obroty młyna wodnego zakłócone przez {0} w {1}.
Too many sides are in water flow.,
Waterwheel must be in water to function.,"Młyn wodny musi być w wodzie, aby mógł funkcjonować."
The Waterwheel does not function in oceans.,Młyn wodny nie działa w oceanach.
side,strona
The Solar Generator must be outside.,Panele słoneczne muszą być na zewnątrz.
"The Solar Generator sees {0}% of the sky, generating {1}w of the maximum of {2}. Generator footprint is {3}x{4}.","Panele słoneczne mają dostęp do {0}% czystego nieba, generując {1}W z maksymalnie możliwych {2}. Podstawa generatora to {3}x{4}."
The Solar Generator requires a view of the sky to operate.,"Panele słoneczne potrzebują dostęp do czystego nieba, aby mogły funkcjonować."
No objects required by power grid network,Brak obiektów wymaganych przez sieć elektryczną
Not connected to a power grid,Niepodłączony do sieci elektrycznej
Uncategorized,Nieskategoryzowany
"Cannot enroll, no subject set.",
"Cannot enroll, class is full.",
"Cannot enroll, you are already educated in {0}.",
Enrollment failed: Requirements not satisfied.,
"Enrollment failed, requirements not satisfied.",
tuition fee,
"You are now enrolled as a {0} student!{1}Once both you and the teacher have applied labor, you will begin gaining education in {2}.",
{0} is now a student of {1} at {2}. {3},{0} uczy się od teraz u {1} w {2}. {3}
{0} has enrolled in your {1} class.  You will collect {2} when they complete the class.,
"Cannot become a teacher here, requirements not satisfied.",
A subject must be assigned before you may become a teacher.,
You don't have the skill {0} and thus cannot teach it.,
"You are now a teacher of {0}!  For teaching to begin:\n\n - Students must enroll beyond the minimum number required.\n - Students must add studying labor.\n - You must add teaching labor.\n\n When these are satisfied, their education in the given subject will begin increasing.",
{0} is now teaching {1} at {2}.,{0} naucza teraz {1} w {2}.
Are you sure you want to stop teaching? You will lose {0} queued teaching calories.,
Are you sure you want to stop teaching?,
{0} calories applied to studying.  {1} of calories needed for class have been applied.,
Teaching not started:,Nauczanie niezaczęte:
"Teaching in progress, {0} currently learning.","Nauczanie w trakcie, {0} obecnie w trakcie nauki."
{0} has successfully completed a class in {1} taught by {2}.{3},{0} pozytywnie ukończył lekcję w {1} prowadzoną przez {2}.{3}
You have completed your course in {0} taught by {1}!{2},Ukończyłeś swój kurs w {0} prowadzony przez {1}!{2}
{0} has completed your course in {1}!{2},Twój kurs w {1} został ukończony przez {0}!{2}
You already have the maximum calories you can queue here ({0} classes worth).,
{0} calories applied to teaching.  Calories queued to teach {1} full classes.,
Teaching time queued: {0} ({1} full classes),
No teacher has yet taken the job.,
Class is being taught by {0}.,
No subject set.,
Room must contain a working crafting table that uses {0} in order to teach.,"W pomieszczeniu musi znajdować się działający stół rzemieślniczy, który wykorzystuje {0} do nauczania."
Crafting table used for teaching ({0}) for {1} is not enabled.,
No teacher assigned.,
Teacher needs to perform teaching labor.,
"Need at least {0} with queued study labor to begin, currently {1}.",
"Tuition distributed from escrow: {0} paid to teacher, {1} paid to school.",
{0} transferred fee to escrow for crafting {1} in the amount of {2},
{0} paid fee for crafting {1} in amount of {2},
{0} refund fee for crafting {1} in amount of {2},
damaging {0}{1},
World Progress,
Achievements,
Error: two achievements with same name '{0}',
{0} unlocked the achievement {1}!,
Citizens with {0} Achievement,
Achievement {0} given to {1},
Removed achievement of type '{0}' from {1},
Given by {0}: {1},
Give an achievement to the given user,
Remove an achievement from the given user,
{0} is outdated. All data was migrated to the new version. Old version is saved as {1},
(shared),
Error inserting custom stat {0} into database,
Couldn't create new custom stat collection for {0}: {1},
Rebuilding database,
Shutting down {0},
"User code modification ignored for '{0}', because user modifications may only be loaded from '{1}' folder.",
Failed to read mod dll meta data: {0},
Invalid job type: {0},
Unlearned,
unspecialized,
specialized,
{0} Level: {1},{0} Poziom: {1}
"This specialty has been discovered, but you haven't learned it yet.\n\nAcquire and read a {0} to learn it.",
Level {0} Benefits,
No benefits at this level,
{0} Education,
Choose {0} as a specialty?\nThis will permanently consume {1}.,
Star,
This area is already influenced by {0},
This location is too close to {0}.,
"You have access to {0} here, but placement would not overlap another {1}.",
Location overlaps {0} but the plot is unowned.  Claim the plot first to place here.,
Location overlaps {0} but you don't have ownership access on this plot.,
Place here to start a town overlapping {0}.,
"Can't place here, you don't have access to {0}.",
"Can't place here, must be within the influence of a {0} you have access to.",
Plot is already a part of {0}.,
Plot is part of a different deed: {0}.,
Plot neighbors existing {0} plot and can be claimed.,
Plot does not neighbor existing plot of {0} and cannot be claimed.,
Claiming Plots for {0},
{0} of {1} plots claimed.,
Day {0} - {1} online,
Match Score: {0},
Total Score: {0},
Match Score,
Active Citizens,
Match Score:,
Score,
Server has a great ping ({0}),
Server has an ok ping ({0}),
Server has a slow ping ({0}),
Server did not respond to ping.,
{0} currently online.,{0} znajduje się obecnie w świecie.
An admin is online.,
Server description is set.,
Server has a distribution station for new citizens.,
Immigrants needed to replace abandoning players! Save Our Server.,
Initial set of citizens still growing to capacity.,
Is already full of active citizens.,
Day {0} of a beginner server.,
Day {0} of an experienced server.,
A world building a utopia after the meteor has been destroyed.,
Server play times matches yours by {0},
"Server has no exhaustion-limit set on citizens, which matches your setting of {0} hours per-day by {1}.",
"Server has an exhaustion-limit set on citizens after {0} hours, which matches your setting of {1} hours per-day by {2}.",
Great Ping,
Bad Ping,
Disconnected,Rozłączono
Some Players Online,
Many Players Online,
Lots of Players Online,
Admin Online,
Newbie Friendly,
Immigrants Needed,
Growing Population,
Full,
New Server,
New Hard Server,
Post-Meteor Society,
Unmatched Times,
Matched Times,
Unmatched Hours Per Day,
Matched Hours Per Day,
Friends Online,
{0} hours per day,
Exhaustion Limit,
Select Point of Interest Filter,
Point of Interest,
Points of Interest,
"You will be charged {0} {1} and {2} {3} in tax, leaving you with {4} {5}.",
Base value '{0}':,
Multiplier,
Self Direct Transfer,
This transfer will be taxed as self directed because you have access to the target bank account.,
Public Direct Transfer,
This transfer will be taxed as public directed because you don't have access to the target bank account.,
Choose {0},
Direct Transfer Tax (PUBLIC):,
Direct Transfer Tax (PUBLIC),
A tax taken from citizens that are transferring currency from their account to another player's account.,
Direct Transfer Tax (OWN):,
Direct Transfer Tax (OWN),
"A tax taken from citizens that are transferring currency from their account to another account which they have access to. Generally tax rates on transfers between two accounts you both own is zero, but this tax rate can be set to prevent tax evasion by changing ownership of bank accounts after a transfer.",
Currency Exchange Tax:,
Currency Exchange Tax,
"A tax taken from citizens when using a currency exchange. Tax is charged as an extra cost to the customer, and the given percent is taken from both currencies in the transaction (thus you may want this to half of what you want the expected tax percent to be, since both are taxed).","Podatek pobierany od obywateli podczas korzystania z kantoru. Podatek jest naliczany jako dodatkowy koszt dla klienta, a dany procent jest pobierany z obu walut w transakcji (dlatego możesz chcieć, aby była to połowa oczekiwanego procentu podatku, ponieważ obie są opodatkowane)."
