English,BrazilianPortuguese
"Requirements that must be satisfied throughout the course. If the student fails to maintain these requirements, they will be expelled.","Requisitos que devem ser atendidos ao longo do curso. Se o estudante não cumprir esses requisitos, ele será expulso."
"If set, students will be charged this amount upon enrollment, which will be held in Escrow until completion or unerollment, upon which it will be split with the teacher and the owner's bank account.  Students that leave class before completion will have a prorated amount refunded.  Students who have a partial education when joining will be charged a prorated tuition.","Se definido, o valor será cobrado dos estudantes no ato da matrícula, que ficará em garantia até a conclusão ou cancelamento da mesma, após o qual será dividido com o professor e a conta bancária do proprietário. Os estudantes que deixarem a classe antes da conclusão terão um valor proporcional reembolsado e os que já tiverem um ensino parcial pagarão uma taxa de matrícula proporcional."
"Requirements that must be satisfied throughout the course. If the teacher fails to maintain these requirements, they will be removed.","Requisitos que devem ser atendidos ao longo do curso. Se o professor não cumprir esses requisitos, ele será removido."
Thie percentage of tuition will be paid to the teacher when a student finishes a course or unenrolls.,Essa porcentagem da taxa de matrícula será paga ao professor quando o estudante terminar um curso ou cancelar a matrícula.
"Teaching will not begin until this many students are enrolled and have met the calorie requirements for studying.  This is to limit the calorie expenditure of the teacher, which is the same regardless of the number of students being taught.","O ensino não será iniciado até que a quantidade mínima requerida de estudantes estejam matriculados e tenham cumprido os requisitos de calorias para estudar. Isso é para limitar o gasto de calorias do professor, que é o mesmo independentemente do número de estudantes que estão sendo ensinados."
"Teaching requires labor, paid in advance in the form of calories. When students are enrolled and have studied, their queued 'study' calories and the teachers queued 'teaching' calories will tick down together, while their education rises.","Ensinar requer trabalho, o qual é pago antecipadamente na forma de calorias. Quando os alunos estão matriculados e estudando, suas calorias enfileiradas de 'estudo' e as calorias enfileiradas de 'ensino' dos professores vão diminuir juntas, enquanto seu aprendizado aumenta."
fin,
Location To Display,Localização Para Exibir
Affects where the message will be displayed.,Modifica aonde a mensagem será exibida.
Total Terms Allowed,Total de mandatos permitidos
Can Set Global Objective,Pode definir objetivo do mundo
Immigrant,Imigrante
The immigrant applying to become a citizen.,O imigrante solicitando para se tornar um cidadão.
A set of rules for how immigrants may become citizens of a settlement.,Uma série de regras para como imigrantes podem se tornar cidadãos de um assentamento.
Game Value Wrapper,Invólucro de Valor de Jogo
Game Value Context,Contexto de Valor do Jogo
Comparison,Comparação
Not Value,Valor de não
Arithmetic operations on other values from the world.,Operações aritméticas em outros valores do mundo.
Target citizen's personal bank account.,Conta bancária pessoal do cidadão alvo.
Definition,Definição
Variable's text representation.,Representação de texto da variável.
Variable's value that will be used in calculations.,Valor da variável que será utilizada nos cálculos.
Formula,Fórmula
Where,Onde
Text Formula,Fórmula de texto
"Calculates a formula written out in text, using variables defined below.","Calcula uma fórmula escrita em texto, usando as variáveis definidas abaixo."
"The formula to compute. Can use operators +,-,*,/,%,^,(). Can use variables: add a name and you'll have the option to auto-create them from the tooltip.",A fórmula a ser computada. Pode ser usado os operadores + - * / % ^ ( ). Pode usar variáveis: adicione um nome e você terá a opção de criar elas automaticamente a partir da caixa de diálogo.
Round Type,Tipo de Arredondamento
Round To Multiple,Arredondar Para o Múltiplo
Thresholds,Limites
Progressive Percent,Porcentagem progressiva
"Choose a percent based on increasing thresholds, like tax-brackets.","Escolha uma porcentagem baseada em limites crescentes, como alíquotas de impostos."
Value to query.,Valor a ser consultado.
List of threshold to query progressive percent value.,Lista de limite para consultar o valor percentual progressivo.
Threshold,Limite
Statistical queries of the world.,Consultas de estatísticas do mundo.
Species Types,Tipos de Espécies
Statistic,Estatística
Custom Stat Name,Nome Personalizado de Estatística
Time Range In Hours,Intervalo de Tempo em Horas
Time Range Type,Tipo de Intervalo de Tempo
"The name of the stat that will be recorded, creating it if it doesn't exist. Case insensitive.","O nome da estatística que será gravada, criando-a se ainda não existir. Não diferencia maiúsculas de minúsculas."
Matches Currency,Corresponde à Moeda
Authorized Or Not,Autorizado ou Não
Ignore Government Owned,Ignorar Propriedade do Governo
Weight By Percent Owned,Peso por Porcentagem de Propriedade
Stats about players.,Estatísticas sobre os jogadores.
Within Last Number Of Days,Nos Últimos Dias
Population Type,Tipo de população
Defines what kind of population will be queried.,Define que tipo de população será consultada.
House Value,Valor de habitação
Defines what kind of house value will be queried.,Define que tipo de valor de habitação será consultado.
The list of districts to query.,A lista de distritos a serem consultados.
Queries population overlapping or contained in specific districts.,Consulta a população sobreposta ou contida em distritos específicos.
Population At Location,População na localização
Population values at given location.,Valores populacionais na localização especificada.
Location to query population.,Localização para consultar a população.
Population At District,População no distrito
Population values relative to districts.,Valores populacionais relativos aos distritos.
The relation of resident's property and the districts.,A relação entre a propriedade do residente e os distritos.
House Value At Location,Valor de habitação na localização
Get a value related to housing at a given location.,Obtém um valor relacionado à habitação em uma determinada localização.
Location to check house value of.,Localização onde verificar o valor de habitação.
Analysis Type,Tipo de análise
Property Relation Type,Tipo de relação da propriedade
House Value At Districts,Valor de habitação nos distritos
Get a value related to housing at given districts.,Obtém um valor relacionado à habitação nos distritos determinados.
Defines what analysis of the data you want to perform.,Define o tipo de análise de dados que você deseja realizar.
Resident Type,Tipo de residente
Is Resident Type,É um Tipo de Residente
"Check if a citizen is a resident, renter, owner, or invited on a given property","Verifica se o cidadão é residente, locatário, proprietário ou convidado em uma determinada propriedade."
Defines the resident type to check for.,Define o tipo de residente a ser verificado.
Sections,Seções
Property Location,Localização de Propriedade
Invite Or Rescind,Convidar ou Rescindir
Show Achievements At Trust Level,Mostrar Conquistas no Nível de Confiança
Only achievements earned on other servers this level of trust and up will be shown in the game.,Apenas as conquistas obtidas em outros servidores com este nível de confiança ou superior serão mostradas no jogo.
CO2 Total Delta,Variação Total de CO2
Temperature Total Delta,Variação Total de Temperatura
Sea Level Total Delta,Variação Total do Nível do Mar
Layer Type,Tipo de Camada
Subcategory,Subcategoria
Habitability Layer,Camada de Habitabilidade
Species Change Rate,Taxa de Mudança de Espécies
Is Terrestrial,É Terrestre
Decay Rate Flat,Taxa de Decaimento Plano
Decay Rate Percent,Porcentagem da Taxa de Decaimento
Zero At Height Diff,Zero na Diferença de Altura
Source Influence Rate,Taxa de Influência da Fonte
Base Layer Name,Nome da Camada Base
Height Layer Name,Nome da Camada de Altura
Celsius Range,Raio de Graus (em Celsius)
Init Multiplier,Iniciar Multiplicador
Sync To Client,Sincronizar Para o Cliente
Override Render Range,Sobrepor Raio de Renderização
Min Color,Cor Mínima
Max Color,Cor Máxima
Sum Relevant,Soma Relevante
Category Name,Nome da Categoria
Visible,Visível
Render Range,Alcance de Renderização
Value Type,Tipo de Valor
Area Description,Descrição da Área
Initial Oxygen Percent,Percentual Inicial de Oxigênio
Initial Nitrogen Percent,Porcentagem Inicial de Nitrogênio
Atmosphere Display Enabled,Exibição da Atmosfera Habilitada
Pollution Multiplier,Multiplicador de Poluição
Sea Level Sim Enabled,Simulação de Nível de Mar Habilitada
Temperature Sim Enabled,Simulação de Temperatura Habilitada
Max Sea Level Rise,Aumento Máximo do Nível do Mar
Max Temperature Rise,Aumento Máximo da Temperatura
Max Sea Level Rise Rate Per Day,Taxa Máxima de Aumento do Nível do Mar por Dia
Max Temperature Change Per Day,Taxa Máxima de Mudança de Temperatura por Dia
Pollution Per Tailing Per Tick,Poluição por Rejeitos por Ticks
Max Debris Blocks,Blocos Máximos de Detritos
Climate Settings,Configurações de clima
Push To World,Empurre para o mundo
Pull From World,Puxe do mundo
Animal Behavior Lodding,Registro de comportamento animal
Base Skill Gain Rate,Taxa base de ganho de habilidade
Skill Damage Multiplier,Multiplicador de dano de habilidade
Record Layer History,Registro de histórico de camada
Layer History Backups Per Day,Backups do histórico de camadas por dia
Time Of Day Scale,Escala de hora do dia
Group By Essential Fields,Agrupar por campos essenciais
Group By All Fields,Agrupar por todos os campos
Dont Group,Não agrupar
Stats Grouping Days,Dias de agrupamento de estatísticas
Max Records To Group,Máximo de registros para agrupar
Keep Details Hours,Manter detalhes por horas
Rebuild Database On Exit,Reconstruir banco de dados ao sair
Grouping Level,Nível de agrupamento
"How old records can be grouped. It means it will try to process all last X days of records to group them. Usually you want to have this number low (1-2) in order to avoid process already processed records, but you can set high value (by example world age) in order to process at once all records from some old save with disabled grouping.","Quantos registros antigos podem ser agrupados. Isso significa que o servidor tentará processar todos os últimos X dias de registros para agrupá-los. Normalmente você deseja ter este número baixo (1-2) para evitar o processamento de registros já processados, mas você pode definir um valor alto (por exemplo, idade do mundo) para processar de uma vez todos os registros de algum salvamento antigo com agrupamento desabilitado."
"Max count of records that will be proccesed at once hourly. For reference, server with 100 players may reach 1.000.000 records per day. Usually 500.000 (default) should be ok, but you may want to tweak it if you have incredibly big count of records or if you are facing lag while it groups records.","Contagem máxima de registros que serão processados de uma vez a cada hora. Para referência, um servidor com 100 jogadores pode atingir 1.000.000 de registros por dia. Normalmente 500.000 (padrão) deve estar bom, mas você pode querer ajustá-lo se tiver uma contagem incrivelmente grande de registros ou se estiver enfrentando lag enquanto o servidor agrupa os registros."
Most recent records wont be processed in order to have more exact values for laws like 'Users who in last 1 hour claimed plots ...'. You may want to tweak this value to increase this support.,Os registros mais recentes não serão processados para ter valores mais exatos para leis como 'Usuários que na última 1 hora reivindicaram lotes...' Você pode querer ajustar este valor para aumentar este suporte.
