English,Arabic
A map that defines the areas of the world covered by a specific set of districts.,خريطة تحدد مناطق العالم التي تغطيها مجموعة محددة من المناطق.
Sleep in the bed to advance time.,النوم في السرير لتقدم الوقت.
Ethanol,الإيثانول
Trailer Truck,مقطورة شاحنة
client,
wallHeight,
groundType,
wallType,
specialtyName,
Show/Hide Markers,إظهار / إخفاء المحددات
Switch Chat tabs,تبديل علامات تبويب الدردشة
Vehicle Ramps Down/Up,منحدرات السيارة لأسفل / لأعلى
Current Constitutions,الدساتير الحالية
When your goal is to really light up the heaven!,عندما يكون هدفك هو أن تضيء الجنة حقًا!
A simple hewn wooden nightstand you can pile unread books on.,منضدة خشبية بسيطة محفورة يمكنك تكديس الكتب غير المقروءة عليها.
Nightstand,منضدة سرير
A contraption to catch unsuspecting crabs in search of prey.,وسيلة غريبة للقبض على السرطانات المطمئنة بحثًا عن الفريسة.
A decorative table made from cast iron.,طاولة زينة مصنوعة من الحديد الزهر.
A luxurious bed made from the finest cotton strands with added gold filling for the royal experience.,سرير فاخر مصنوع من أجود خيوط القطن مع حشوة ذهبية مضافة للتجربة الملكية.
It is very stable.,إنه مستقر للغاية.
Does not look very comfortable.,لا تبدو مريحة جدا.
A solid bed made slightly more comfortable by adding cotton.,سرير صلب يجعله أكثر راحة قليلاً بإضافة القطن.
Teachable,قابل للتعليم
Crop Seed,بذور المحاصيل
Wheat Ethanol,إيثانول القمح
Weave Wool Curtains,نسج ستائر من الصوف
Weave Small Bath Mat,نسج حصيرة حمام صغيرة
Weave Nylon Curtains,نسج ستائر نايلون
Weave Large Bath Mat,نسج سجادة حمام كبيرة
Weave Cotton Curtains,نسج الستائر القطنية
Melting Fat,إذابة الدهون
Corn Ethanol,إيثانول الذرة
Clean Crab,تنظيف السلطعون
Campfire Fish Small,سمك كامب فاير صغير
Fabric,قماش
Large Fish,سمك كبير
Medium Fish,سمك وسط
Medium Wooly Carcass,الذبيحة الصوفية المتوسطة
Small Fish,سمكة صغيرة
Medium Leather Carcass,هيكل جلدي متوسط
A material used to make biodiesel. Not suitable for food.,مادة تستخدم لصنع وقود الديزل الحيوي. غير مناسب للطعام.
Harvestable,حصاد
A revolutionary method to acquire butter.,طريقة ثورية للحصول على الزبدة.
Fertilizer Filler,سماد حشو
A multipurpose filler that is made from what you have available,حشو متعدد الأغراض مصنوع مما هو متاح لديك
Window Grilles Edge,شباك النافذة الحافة
Window Edge,حافة النافذة
Window Corners,زوايا النافذة
Thin Wall Edge,حافة الجدار الرقيقة
Thin Floor Top,رقيقة الطابق الأعلى
Thin Floor Bottom,رقيقة القاع
Small Corner Brace,دعامة زاوية صغيرة
Constructable,قابل للبناء
Road Type,نوع الطريق
Excavatable,يمكن حفره
Increases the headshot damage by 50 percent.,تزيد من ضرر الرأس بنسبة 50 في المائة.
Allows you to recover arrows shot into animals when harvesting them with a 50 percent chance.,يسمح لك باسترداد السهام التي تم إطلاقها في الحيوانات عند حصادها بنسبة 50 في المائة.
Can't dig while carrying {0}.,لا يمكن حفره أثناء حمل {0}.
Mayor,رئيس البلدية
Chief Executive,الرئيس التنفيذي
Sultan,السلطان
Head of State,رئيس الدولة
Premier,رئيس الوزراء
Chancellor,المستشار
United Nations,الأمم المتحدة
League of Nations,جامعة الأمم
Federation of Earth,اتحاد الأرض
Seeds,بذور
Wooden crab pots must be placed underwater in salt water to function.,يجب وضع صناديق السرطان الخشبية تحت الماء المالح لتعمل.
Liquid,سائل
Invalid api key,مفتاح API غير صالح
QA mode inactive,وضع اختبار QA غير فعال
QA mode active (Authorized),وضع اختبار QA نشط (مصرح به)
QA mode partially active (Not Authorized),وضع اختبار QA نشط جزئيًا (غير مصرح به)
Developer authentication succeeded.,نجحت عملية المصادقة على بيانات المطور.
Account isn't developer tier.,الحساب ليس من النوع المطور.
A profiling session is being started for the server. Gameplay experience could be degraded for the time being.,يتم بدء جلسة تحليل أداء للخادم. يمكن أن يتأثر تجربة اللعب لفترة مؤقتة.
Results saved in {0} directory.,تم حفظ النتائج في دليل {0}.
To install `dotnet-dump`: {0}\nTo install `dotnet-trace`: {1},لتثبيت `dotnet-dump`: {0}\n لتثبيت `dotnet-trace`: {1}
Profiling,تحليل أداء
Take memory dump + profile CPU,خذ تفريغ الذاكرة + وحدة المعالجة المركزية الشخصية
Take memory dump,خذ تفريغ الذاكرة
Profile CPU,وحدة المعالجة المركزية الملف الشخصي
Profiling already in progress...,جاري التوصيف بالفعل ...
Profiling started...,بدأ التشكيل الجانبي ...
Profiling finished,انتهى التنميط
Error while profiling,خطأ أثناء التنميط
Would you like to open the results directory?,هل ترغب في فتح دليل النتائج؟
Could not start profiling,تعذر بدء التشكيل الجانبي
Make sure you have `dotnet-dump` and `dotnet-trace` installed and available in your PATH.,"تأكد من تثبيت ""dotnet-dump"" و ""dotnet-trace"" وإتاحتهما في PATH."
Check logs for installation details.,تحقق من السجلات للحصول على تفاصيل التثبيت.
The server has not been setup for profiling. Check logs for more details.,لم يتم إعداد الخادم للتوصيف. تحقق من السجلات لمزيد من التفاصيل.
Profiler,منشئ ملفات التعريف
Uninstall,الغاء التثبيت
Install,ثَبَّتَ
Download,تحميل
Unsubscribe,إلغاء الاشتراك
Subscribe,يشترك
MoreInfo,
{0} is now {1}. Previously invalid because: {2},{0} الآن {1}. كانت غير صالحة سابقًا للأسباب التالية: {2}
{0} is now {1}: {2},{0} هو الآن {1}: {2}
Citizen of {0}.,مواطن {0}.
Not a citizen of any settlement.,ليس مواطنا في أي مستوطنة.
Active Contracts,العقود النشطة
Available Contracts,العقود المتاحة
Finished Contracts,العقود المنتهية
Failed Contracts,العقود الفاشلة
"This skill is currently being researched.\n{0} furthest ahead at {1} completion, located at {2}.",هذه المهارة قيد البحث حاليًا.\n{0} و الأكثر تقدمًا مند {1} اكتمل، وتقع في {2}.
{0} item tool will function much less efficiently until repaired.\n,{0} أداة العنصر ستعمل بكفاءة أقل بكثير حتى يتم إصلاحها\n
Test fold out Message {0},اختبار طي الرسالة {0}
Foldout content,محتوى مطوي
Test Message {0},رسالة اختبارية {0}
Send many messages,إرسال العديد من الرسائل
Foldout,أضعاف من
Message from {0}: {1},رسالة من {0}: {1}
Sent '{0}' to {1}.,"تم إرسال ""{0}"" إلى {1}."
Notification test msg {0}:{1},اختبار الإخطار رسالة {0}: {1}
Maintenance scheduled.,جدول الصيانة.
Channel {0} already exists.,القناة {0} موجودة بالفعل.
Are you sure you want to delete channel {0}?,هل أنت متأكد أنك تريد حذف القناة {0}؟
