English,SimplifedChinese
"Cotton fabric is valued for its light weight, breathability, and softness.",棉织物因其重量轻、透气性和柔软性而颇具价值。
A dead beaver.,一只没有生命迹象的海狸。
A form-fitting vest and tie ensemble which includes measuring tape.,合身的马甲和领带套装，其中包括测量尺。
Tailored slacks that fit just right.,量身定制的休闲裤，恰到好处。
A stylish bowler hat made of tighly spun fur felt.,一顶时尚的礼帽，由高纺毛皮毡制成。
Denim pants with knee patches.,膝部有补丁的牛仔裤。
A reinforced wrist guard paired with a lone work glove.,强化的护腕配上一副工作手套。
A thick leather apron that provides protection from the ocassional chunk of flying metal when hammering on an anvil.,一条厚厚的皮围裙，在铁砧上敲打时，可以防止偶尔的大块金属飞溅。
A long-sleeved flannel shirt that is often worn when working outdoors.,一种长袖法兰绒衬衫，在户外工作时经常穿着。
Comfortable denim overalls to help with the frequent bending over that comes with farm work.,舒适的牛仔布工作服，帮助解决农场工作中经常弯腰的问题。
A wide-brimmed straw hat designed to provide protection from the sun.,一种宽边草帽，旨在提供防晒保护。
Water-resistant nylon gloves with textured palms for increased grip.,防水尼龙手套，手掌有纹理，增加抓地力。
A short sleeved work shirt made from a blend of cotton and synthetic materials.,由棉和合成材料混合制成的短袖工作衬衫。
Durable overalls with cargo pockets and hammer loops.,耐用的工作服，有大量口袋和工具挂圈。
A plastic hard hat that protects from falling objects and other hazards found in construction sites.,一种塑料硬帽，可防止落物和建筑工地上的其他危险。
Leather construction gloves with durable palms and fabric backs for breathability.,皮革结构的手套，手掌处设计经久耐用，背面是织物，具有透气性。
A woven wool floor covering attached to a lumber backing.,附着在木材衬底上的羊毛编织地板材料。
A woven nylon floor covering attached to a lumber backing.,附着在木材衬底上的尼龙编织地板材料。
A woven cotton floor covering attached to a lumber backing.,附着在木材衬底上的棉织地板材料。
Prairie Dog,草原犬鼠
Marmot,土拨鼠
Beaver,海狸
PrairieDog Capacity,草原犬鼠容量
Marmot Capacity,土拨鼠容量
Beaver Capacity,海狸容量
Existence,存在
You logged in at {0} after server start!,你在服务器启动后的{0} 登录！
You used a mod that had a custom achievement (this one).,你用了一个有自定义成就的模组（这个）。
Closed,已关闭
You are not authorized to Open/Close this door.,你无权打开/关闭此门。
This door has an invalid status and cannot be opened.,这扇门处于无效状态，无法打开。
harvest a plant,收获一株植物
harvesting a plant,一株植物收获中
Wall 3 Point,墙3点
Wall 2 Point,墙2点
Could not find height map. Using default setting.,找不到高度图。使用默认设置。
Saving image to {0},正在保存图片至 {0}
Description: Shows a preview of the terrain with the current properties.,描述：显示具有当前土地的地形预览。
Rivers & Lakes,河流和湖泊
Update Preview,更新预览
Open Storage,开启仓库
Randomize Seed,随机种子
Documentation:,文件：
Generating terrain preview,地形预览生成中
Insufficient amount of operands.,运算对象数量不足。
Missing {0},缺少 {0}
Provided expression is empty.,所提供的表达式是空的。
Missing opening bracket.,缺少开括号。
Missing operator?,缺少操作人员？
{0} is not implemented.,{0} 未应用。
Unable to perform {0} operation between {1} and {2}. The result is {3}.,无法在{1} 和{2} 之间进行{0} 操作。结果是{3}。
Unable to get value of {0},无法获得{0} 的值
Insufficient amount of operators.,操作人员数量不足。
not a number,不是一个数
infinity,无限
an,1个
a,1个
Control-click: multiply input by {0}\nAlt-click: multiply input by {1}.,单击CTRL键：将输入值乘以{0}\n单击ALT键：将输入值乘以{1}。
RCON,远程控制台
PlayerDefaults Required and Not Found. It will cause errors in runtime.,需要PlayerDefaults，未找到。它将在运行时导致错误。
"Unstuck disabled, try again in {0} seconds.",解开已禁用，请在 {0} 秒后重试。
"Time for inserting with parallelCount = {0}, statsCountPerParallel = {1} and bulk = {2} is {3}","在 parallelCount = {0}, statsCountPerParallel = {1} 和 bulk = {2} 的情况下，添加时间为{3}。"
Inserts records to DB to get perfomance information on it.,向数据库添加记录，以获得它的表现信息。
Send multiple chat messages over time to test scrolling,在一段时间内发送多条聊天信息以测试滚动情况
"You naturally like some foods better than others, and when you eat more of those foods you like you get a multiplier to your skills.",你自然会喜欢一些食物而不是其他食物，当你多吃那些你喜欢的食物时，你的技能就会得到倍增。
Tastiness Bonus: {0} (Calorie-Weigthed Average of bonuses),美味度加成：{0}（卡路里权衡的平均加成）
"(Everyone has different tastes, determined randomly, and discovered by eating.  You have one favorite and one least favorite food.)",(每个人都有不同的口味，随机决定，通过吃来发现。 你有一个最喜欢和一个最不喜欢的食物。)
{0} discovered their favorite food ever: {1},{0} 发现他们最喜欢的食物：{1}
{0} discovered their most hated food ever: {1},{0} 发现他们最讨厌的食物：{1}
worse than anything,比什么都糟糕
horrible,可怕
bad,坏的
good,好的
delicious,美味的
better than anything,比什么都好
least favorite,最不喜欢
favorite,最爱
Food Eaten in the Last Day,最后一天所吃的食物
It's the worst thing you've ever tasted.,这是你所尝过的最糟糕的东西。
It tastes horrible.,味道很糟糕。
It tastes good.,味道不错。
It's delicious!,美味！
It's the best food you've ever tasted!,这是你所品尝过的最好的食物！
{0} of diet ({1} calories eaten),饮食（所吃的{1} 卡路里）的{0}
ok,好
It tastes ok.,味道还可以。
Subtotal:{0},小计：{0}
Balanced Diet Bonus,均衡饮食加成
Food Variety Multiplier,食物多样性系数
Food Tastiness Multiplier,食物味道系数
You ate {0} for {1} calories. {2},你吃了{1} 卡路里的{0}。{2}
Nutrition now provides {0} skill per day ({1}).,营养现在每天提供 {0} 技能 ({1})。
Variety Bonus,多样性加成
Tastiness Bonus,美味度加成
You've eaten {0} differrent types of food in the last 24 hours of at least {1} calories of each:,在过去24小时内，你吃了{0} 种不同类型的食物，每种至少有{1} 卡路里：
Bonus: {0},加成：{0}
The number of different foods you eat gives you a multiplier to the value of your food.,你吃的不同食物的数量给你的食物价值带来了一个系数。
Craving for {0} was set on {1}.,对{0} 的渴望被设定在{1}。
That really hit the spot - your craving has been satisfied!,这真是击中了要害——你的渴望得到了满足！
You got a craving for {0}.,你对{0} 有一种渴望。
You could really go for some {0} right about now.,你现在真的可以去买一些{0}。
You can't stop thinking about {0}.,你无法停止对{0} 的思考。
Some {0} would really taste good right now.,现在，一些{0} 的口感真的会很好。
You got a hankering for {0}.,你对{0} 有一种向往。
You are hungry for some {0}.,你饿了，想吃点{0}。
Inventory only accepts {0}.,库存仅接受燃料{0}。
There is no room for this type of resource.,这类资源是没有空间的。
Inventory doesn't accept items.,库存不接受道具。
Inventory only accepts carried items.,库存只接受携带道具。
Inventory only accepts non-carried items.,库存仅接受非携带道具。
Inventory is too heavy.,库存太重。
Inventory only accepts fuel.,库存仅接受燃料。
Inventory only accepts seeds.,库存只接受种子。
Inventory only accepts clothing items fitting that slot.,库存仅接受适合该插槽的服装。
Not enough room in inventory.,库存没有足够空间。
"- {0}, can teach tier {1} subjects.",- {0}，可以教层级{1} 的科目。
Ignored an extra {0}. Only {1} allowed of this type.,忽略了一个额外的{0}。这种类型只允许有{1}。
No student workstations in room.,房间里没有学生工作站。
